iban,klant_id,saldo,title,type
CY65 4417 9732 JQHD 7BNC EIKP MIJZ,67,44835,Blanda-Donnelly,particulier
BG65 VEWA 4655 31LP SINI X4,14,12914,Maggio-Stiedemann,particulier
KZ43 406A AHQO D9FL PGDK,56,2703,O'Reilly LLC,particulier
FR91 4778 9973 71M1 XTVU XQS4 767,125,42053,Bahringer Group,particulier
AT36 5313 5768 1725 3140,22,27119,"Balistreri, Bode and Bins",particulier
FR24 2904 5767 60CI ZN4U XNQI G54,59,38379,Bauch LLC,particulier
MU91 ROLJ 8506 2912 1257 4217 851A GV,168,28408,"Kulas, Gutkowski and Becker",particulier
GT88 CL7C Y603 K4QW HIMM NKK5 RRJ5,188,24284,"Hintz, Rolfson and Stoltenberg",particulier
FR62 7025 5362 16ES 53YH C7CI Q54,113,29747,"Harris, Vandervort and Bednar",particulier
VG54 OJTI 2718 5622 5500 0765,186,40683,Blick Group,particulier
FR20 3755 6992 92SY FPXX AEAU 280,49,40532,"Jakubowski, Runte and Emmerich",particulier
NL34 WPRH 5035 7221 32,152,39871,"Miller, Bartoletti and Berge",particulier
FR49 4401 7280 47SV RIN5 ZA7E O68,175,16141,"Padberg, Considine and Prohaska",particulier
NO60 9863 9185 082,128,46272,Kiehn Inc,particulier
IL15 3469 0205 3094 3712 926,132,49348,Cartwright-Weber,particulier
LU18 565I PBWO QMRI EGED,147,40420,Lemke Inc,particulier
SK59 4697 0239 6653 0573 9717,136,35673,Denesik and Sons,particulier
LB15 8548 ZT11 D7YV ZJYD 6ORL GQSC,80,48955,"Beahan, McDermott and Steuber",particulier
BH25 KNML SWWH GV67 JQXR IX,174,17735,"Blanda, Haag and Schiller",particulier
LV04 FCNX JOBH TQZB SEYM Z,175,15231,"Murazik, Yundt and Kuhlman",particulier
FR69 7531 7852 96SM RDVO 57F2 P93,12,6691,"Moore, Pollich and Stroman",particulier
GT55 YSEY XY5I U41V TOGN TYDP A5GI,29,32014,"Jerde, Lang and Tillman",particulier
AE86 5696 7991 9910 8493 302,111,46648,Kassulke and Sons,particulier
MK44 269N NJ6R PKKK H37,46,26637,"Hagenes, Yost and Wiza",particulier
KZ45 212P LW9R H1UX GXSD,141,32956,"Erdman, Ortiz and Corwin",particulier
FR89 9474 0084 15J7 R41O 42SU 300,117,307,Ward-Christiansen,particulier
MU66 TXKV 7997 4579 7096 6385 797T NV,70,18734,"Heidenreich, Parisian and Simonis",particulier
TN57 1602 0056 5372 0483 4446,27,5182,McKenzie-O'Connell,particulier
FR32 9426 7115 63YH NXWP FKX7 L64,18,24915,"O'Keefe, Schmitt and Dietrich",particulier
PS29 OQMX UDZS MVFM YXHB 8EG8 CB96 N,145,21063,McDermott and Sons,particulier
KZ17 562T NVKG ISKZ A55Z,62,5969,Oberbrunner-Lind,particulier
AE24 0015 2541 9793 1425 942,199,21202,Bradtke Group,particulier
HR65 8813 7610 9046 6220 1,3,3861,Sanford Group,particulier
BG37 BJNK 4839 19OQ WJDE KY,20,6310,Blanda and Sons,particulier
LV85 EIOK BFD6 6LXR 9VSJ Y,107,36448,Rau-Mills,particulier
FR37 6703 5529 66CD L9PC JPDQ I76,102,26579,Dibbert-Yundt,particulier
BE26 8692 3787 7038,70,10278,Jenkins-Turner,particulier
FR43 4530 0369 15A6 NYIW Z35P 269,47,41489,Davis and Sons,particulier
ES13 4804 1865 1746 5949 8235,151,8416,"Tromp, Breitenberg and King",particulier
LV59 AKFG SELI GINE XBM6 Q,176,13764,"Olson, Gerhold and Collier",particulier
FR74 3929 3874 27GK 3EAJ QLSZ P02,158,18881,Gaylord-Crooks,particulier
LT76 1788 5975 7782 2400,122,32906,Harris-Bins,particulier
RO62 USQW FGYI TAQO QMLO THNH,106,39622,Hamill-Beier,particulier
SI53 9298 9219 0369 197,149,37964,D'Amore and Sons,particulier
TR92 7740 3PIJ 6MWR 7QYD GRVV UQ,131,10438,Donnelly Group,particulier
GL75 3092 6087 4242 39,153,31146,Barrows-Ankunding,particulier
FR39 6407 3823 52BN URQE Y2PN K48,14,43310,Harvey and Sons,particulier
FR08 9133 0403 48B7 CWYR OXRG U48,134,27340,"Jast, Mills and Reichel",particulier
FI17 5668 0941 8474 71,100,31109,Towne-Schimmel,particulier
KW91 XQQA SQXT BHQU AIQR ZFO0 RETV GR,14,24784,"Murazik, Auer and Ward",particulier
DO77 TBPD 1655 1141 3754 9888 0545,143,17930,Dibbert Inc,particulier
DE43 1693 9927 9256 1465 26,194,17576,Christiansen-Bahringer,particulier
GT88 ROSO VBBJ WJNZ MAVH HOBM TMOI,192,31475,Eichmann and Sons,particulier
VG34 CXWD 4409 9725 5572 2139,73,48829,"Fay, Hyatt and Haag",particulier
MC30 9947 6800 69TP DT8S TZVM H82,162,1634,"Fahey, Greenfelder and Kuhn",particulier
FR56 7306 7470 99OQ 0RFN RU6K T35,56,422,Dach-O'Connell,particulier
FR52 7749 9951 57YS 4YMD HKWB O41,1,12498,"Reichel, Eichmann and Lowe",particulier
LV48 LWHK 0BJN YQHE C9DS S,4,47695,Mann Group,particulier
DO50 AGAS 4414 0656 0712 4252 6216,194,27882,Corkery and Sons,particulier
FR39 0202 1913 90YG SH7H WWTW 036,100,29932,"Weber, Stracke and Funk",particulier
GT85 AB3Q NRRS AXLE X7DH QUIL HBIQ,191,48194,Wilderman-Wiza,particulier
TR57 6071 62RF YEF8 KSDH NOLJ WX,179,34371,Abbott LLC,particulier
GT81 YD1L F3XT XTMG NIQR DB0X IDQO,165,20040,"Thompson, Larkin and Wunsch",particulier
VG28 BHXM 9891 9470 0313 7460,103,35163,Will Inc,particulier
FR03 1933 3103 78CR EQHZ 6GUS W01,65,921,Konopelski-Keeling,particulier
CR50 1178 8538 0308 8305 1,62,7623,Predovic-Strosin,particulier
FR35 0924 0718 29ZP DAII HEGA V14,10,41690,Krajcik Inc,particulier
AT07 6312 4079 3217 3179,21,20111,Erdman and Sons,particulier
PL61 8450 4997 7623 5732 9247 8373,151,5835,Gutmann-Strosin,particulier
PL44 3807 2854 1031 9038 2826 9939,109,25725,Larkin Group,particulier
FR95 0198 5223 18BO 8PQC IJVG N22,39,44275,"Klocko, Cremin and Hartmann",particulier
NO06 0185 1022 123,126,4552,"Thiel, Moen and Becker",particulier
FO53 0121 8607 9661 25,171,1826,"Kshlerin, Lockman and Kling",particulier
IS30 6906 6281 4967 7182 8825 48,144,40831,Tillman LLC,particulier
TN59 7988 0866 7942 0224 2436,164,1958,"Murphy, Turner and Morar",particulier
BE07 0726 8554 0078,71,13347,Swaniawski-Gislason,particulier
FR10 3152 5827 84DQ C9MG W4Q8 638,173,24097,Hills Group,particulier
MR46 8661 5861 8659 5163 8584 148,164,219,Russel and Sons,particulier
SI29 8196 7723 6718 757,9,27757,Gutmann and Sons,particulier
SA41 70HS BY0J DK0Z 8A6P GB91,154,39094,Stehr and Sons,particulier
AT19 6622 0470 4218 5003,130,47195,"Bernier, Thompson and Cummings",particulier
EE14 0433 6107 5088 6545,76,5901,"Abernathy, Schmitt and Friesen",particulier
TR21 0783 6ADW PEK8 GNPU AHRR AY,4,8060,Marks-Feil,particulier
CZ69 0256 1896 2329 0942 7922,21,15632,Kulas Group,particulier
PT43 5966 9895 9252 5919 7499 4,43,38928,Vandervort LLC,particulier
FO31 3602 8611 1534 13,61,2140,Ratke and Sons,particulier
CZ44 2396 4829 1029 2059 1023,191,35113,Bins LLC,particulier
BG14 KZBZ 1904 30J6 OCD5 GZ,63,9745,Cartwright Group,particulier
FR37 9891 8544 62E9 HRSS ESMM X96,80,16604,Pagac-Frami,particulier
MR44 4708 7315 6204 0081 3369 132,118,12083,Gusikowski Group,particulier
IL13 6701 9863 5386 5837 067,146,41363,"Berge, Cormier and Conroy",particulier
BH98 CNHJ 9V6D QDQM ABBF MJ,118,32828,Kemmer Inc,particulier
SI45 1271 8294 2724 744,120,24795,"Stiedemann, Lebsack and Zulauf",particulier
SE21 4577 0771 6726 3338 3156,125,28907,White LLC,particulier
MC82 3270 4939 47FJ ZDYJ 2DHV 378,49,26426,Pollich Inc,particulier
LU69 117S JIFV DNJF F23C,137,44465,"Rolfson, Mante and Leffler",particulier
FR42 5057 2220 59AT OSXL OXP7 S74,165,25341,Cruickshank-Larkin,particulier
CH88 1171 6AFM B0KN E3U8 X,103,1343,Herzog-Bahringer,particulier
PL68 2142 9618 0655 3232 7538 1901,146,24627,Bernhard LLC,particulier
DO57 CUMS 4322 1603 8294 8880 3698,56,34940,Schulist Group,particulier
IL40 6833 3801 4976 7104 999,88,39106,Hammes Group,particulier
FR39 9060 7655 16UC 4EDF GXA2 863,118,5054,McCullough and Sons,particulier
LV63 VGLO YX5K FPJ8 BHZU E,18,35319,Padberg and Sons,particulier
FR88 0572 8632 33WF KBLY QZHE Z92,200,5503,Fahey-Braun,particulier
DK85 5355 2787 9314 62,164,45103,Schmitt-Rohan,particulier
