iban,klant_id,saldo,title,type
IS91 2214 8096 0870 0013 0081 05,4303,966699,"Dare, Pfeffer and Lind",zakelijk
MT09 NQKP 4008 0285 WYEG JL4I TU0W 7YH,4335,155078,"Altenwerth, Cruickshank and Tromp",zakelijk
LB14 0679 TDAS 6VYS TYKI F3HM XYDT,4147,258011,Bernier-McClure,zakelijk
TN21 7894 1801 9627 9981 3680,4375,824329,"Hodkiewicz, Herzog and Mertz",zakelijk
AT97 0658 6082 4633 7907,4083,286310,"Kozey, Beahan and Goyette",zakelijk
KW34 ICZA 5IYK UM8D SSOX 3UBM QHEU QI,4021,825937,Quitzon-Lebsack,zakelijk
KW39 RUYU OMTG CWLW LPPN PWPO 443R XE,4016,274783,Reinger and Sons,zakelijk
EE68 8185 2042 1926 4020,4023,467291,Langosh-Langworth,zakelijk
FR41 2951 6565 69NM OWAO LYXP F35,4327,791317,Hagenes LLC,zakelijk
LI26 8387 0OTS CSYU VZOP Y,4276,741930,Walsh-Johns,zakelijk
FR76 4851 4175 62NB K13D C7CB A85,4267,130424,"Marquardt, Nolan and Beahan",zakelijk
SE70 0803 0434 3142 9196 8701,4019,565309,Pouros-Gulgowski,zakelijk
GT92 C2MG ZJJQ DDO7 TQQC PDWZ Q5YV,4197,477182,Roberts-Lakin,zakelijk
BA40 5305 4836 8830 7731,4237,587477,Kuvalis-Pollich,zakelijk
FR98 2081 5658 91KA E7AR 4C52 H62,4369,259673,"Bernier, Gorczany and Leuschke",zakelijk
FR04 6538 4141 18JO 2FRX GINH 512,4009,611710,Schmitt Group,zakelijk
FI88 6440 2622 3709 04,4223,885957,Hermann LLC,zakelijk
NL51 QIWK 3424 6048 43,4027,939990,Fadel Group,zakelijk
VG21 TARJ 8227 5780 4451 3724,4320,397286,Brekke Inc,zakelijk
LI40 9151 2XAC G7WK 655Z N,4394,247779,"Littel, Adams and Streich",zakelijk
RO38 XCOS OYTL NR1D 0JOL WY41,4151,802829,Ruecker-Nicolas,zakelijk
AL60 7518 5188 XKOC RGKV UNAC LCYN,4310,531190,"Heller, Rosenbaum and Predovic",zakelijk
GE21 CL91 8219 0558 6709 91,4299,861930,Cruickshank-Bogisich,zakelijk
MC48 1463 5089 87HX YEGU KLPF G14,4153,920646,Nader Group,zakelijk
DO71 PS4D 6164 5242 9020 6252 6933,4326,856459,Carroll Inc,zakelijk
IS58 8303 7182 5859 9517 9117 62,4036,172300,Ryan Inc,zakelijk
IE24 SKXI 0258 2797 0492 42,4379,691126,Raynor Group,zakelijk
TN80 0239 0136 7057 8066 9786,4038,605473,"Bechtelar, Crona and Ryan",zakelijk
DO68 9YI1 5067 7083 8332 4451 7440,4476,434113,Beatty-Prosacco,zakelijk
IL71 6471 2250 1403 2074 637,4321,769150,"Grant, Batz and Berge",zakelijk
CR74 0764 3218 5471 6849 1,4093,116354,"Corwin, Mraz and Farrell",zakelijk
FI38 3104 5666 9632 03,4147,281984,Lindgren-Cummerata,zakelijk
IL32 3806 7795 1754 1298 903,4415,313567,"Morissette, Simonis and Bechtelar",zakelijk
BH61 CQDX TEVT AOQQ JGPZ KJ,4106,625239,Altenwerth-Reilly,zakelijk
LU20 233O VWKT LDVJ LBXD,4493,262640,Gutmann Inc,zakelijk
ME77 5378 4568 9834 4854 87,4118,807601,McGlynn-Beer,zakelijk
LT31 3811 3483 6633 3867,4353,223276,"White, Sanford and Feil",zakelijk
LU87 598A AJKI EDDV XCBO,4352,182633,Hilpert and Sons,zakelijk
SK98 2627 4384 5170 6195 5062,4375,688091,Schmeler-Kiehn,zakelijk
FR41 1313 1809 516H DE6Y PR82 I51,4034,743414,Rohan-Rohan,zakelijk
MR71 6061 0593 6617 6304 6557 937,4017,378157,"Hermann, Swift and Predovic",zakelijk
BE88 8301 3217 7318,4212,572317,Wuckert-Bins,zakelijk
DE93 9129 6545 4984 8340 91,4043,593620,"Haley, Rempel and Stiedemann",zakelijk
FR81 0186 4982 91J8 7FMW UBFS V90,4254,146098,"Kilback, Kozey and Cremin",zakelijk
LB53 5770 EUHI HP2O B6VX OWH3 JSHX,4147,73462,Koelpin-Kunze,zakelijk
GE88 PN49 2756 9253 9358 70,4116,373690,"Schinner, Volkman and Ullrich",zakelijk
